department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Administration,Casual Leave,1,5,2,1,36,132,87.0,Rejected
Operations,Annual Leave,1,5,4,4,40,204,79.0,Approved
Health & Safety,Sick Leave,6,5,0,3,34,168,90.9,Rejected
Health & Safety,Sick Leave,1,5,0,4,32,96,95.8,Approved
Health & Safety,Sick Leave,1,5,2,1,40,144,88.9,Approved
Health & Safety,Sick Leave,1,5,2,5,40,204,68.6,Approved
Health & Safety,Sick Leave,1,5,2,10,28,108,76.4,Approved
Health & Safety,Sick Leave,1,5,3,0,28,48,89.9,Approved
Health & Safety,Sick Leave,1,5,3,5,32,96,91.0,Approved
Health & Safety,Sick Leave,1,5,0,3,28,36,82.5,Approved
Health & Safety,Sick Leave,1,5,2,3,34,168,91.1,Approved
Health & Safety,Sick Leave,1,5,4,6,40,204,93.7,Rejected
Health & Safety,Sick Leave,1,5,4,4,34,168,86.3,Approved
Health & Safety,Sick Leave,1,5,0,11,28,108,81.5,Approved
Health & Safety,Sick Leave,1,6,2,1,46,288,86.7,Approved
Administration,Casual Leave,1,6,2,13,30,108,85.1,Approved
Administration,Casual Leave,1,6,4,4,37,120,93.7,Approved
Health & Safety,Sick Leave,1,6,2,5,37,120,97.5,Approved
Health & Safety,Sick Leave,1,6,3,1,36,132,80.7,Rejected
Administration,Casual Leave,3,6,3,3,50,216,94.5,Approved
Administration,Casual Leave,1,6,4,1,31,12,87.2,Approved
Administration,Casual Leave,1,6,4,14,30,108,88.9,Approved
Administration,Casual Leave,1,6,0,0,48,144,99.1,Rejected
Administration,Casual Leave,1,6,0,0,33,96,82.0,Rejected
Administration,Casual Leave,1,6,3,4,50,216,90.6,Approved
Health & Safety,Sick Leave,1,6,3,15,30,108,89.9,Approved
Health & Safety,Sick Leave,1,6,3,2,40,144,92.1,Approved
Health & Safety,Sick Leave,1,6,0,16,30,108,96.3,Approved
Health & Safety,Sick Leave,1,6,0,6,37,120,88.1,Approved
Health & Safety,Sick Leave,1,6,3,2,31,12,87.1,Approved
Health & Safety,Sick Leave,1,6,4,7,37,120,92.1,Approved
Health & Safety,Sick Leave,1,6,2,8,37,120,86.7,Approved
Health & Safety,Sick Leave,1,6,2,3,31,12,89.0,Approved
Administration,Casual Leave,1,7,2,1,43,156,89.4,Approved
Administration,Casual Leave,1,7,4,4,31,12,87.6,Rejected
Health & Safety,Sick Leave,1,7,0,3,58,192,78.7,Approved
Health & Safety,Sick Leave,1,7,0,9,37,120,79.3,Approved
Health & Safety,Sick Leave,10,7,1,4,58,192,85.7,Approved
Health & Safety,Sick Leave,2,7,1,1,33,156,92.4,Approved
Health & Safety,Sick Leave,1,7,2,10,37,120,94.9,Approved
Health & Safety,Sick Leave,1,7,2,4,28,36,88.3,Rejected
Health & Safety,Sick Leave,1,7,2,12,28,108,97.7,Approved
Health & Safety,Sick Leave,10,7,0,2,31,144,73.3,Rejected
Health & Safety,Sick Leave,1,7,1,3,33,156,88.8,Approved
Health & Safety,Sick Leave,1,7,1,2,37,168,90.3,Approved
Administration,Casual Leave,1,7,1,0,33,156,82.8,Approved
Administration,Casual Leave,1,7,1,0,50,216,85.7,Rejected
Health & Safety,Sick Leave,1,7,2,0,38,216,84.8,Approved
Health & Safety,Sick Leave,1,7,3,0,39,168,90.2,Approved
Health & Safety,Sick Leave,1,7,3,1,33,156,87.1,Approved
Health & Safety,Sick Leave,1,7,4,1,38,216,90.3,Approved
Health & Safety,Sick Leave,1,7,4,0,28,36,92.8,Approved
Health & Safety,Sick Leave,1,7,4,0,36,132,79.9,Approved
Administration,Casual Leave,5,7,0,0,34,168,88.6,Approved
Health & Safety,Sick Leave,1,7,0,0,37,168,81.9,Approved
Health & Safety,Sick Leave,1,7,0,1,36,132,86.9,Approved
Health & Safety,Sick Leave,1,7,1,2,36,132,91.6,Approved
Health & Safety,Sick Leave,1,7,2,3,36,132,92.8,Approved
Health & Safety,Sick Leave,1,7,2,2,38,216,85.1,Approved
Health & Safety,Sick Leave,1,7,2,3,38,216,95.3,Approved
Health & Safety,Sick Leave,1,7,4,0,41,192,91.4,Approved
Operations,Annual Leave,1,7,0,4,38,216,92.1,Approved
Health & Safety,Sick Leave,1,7,3,0,33,156,100.0,Rejected
Health & Safety,Sick Leave,1,8,2,0,47,168,84.2,Approved
Health & Safety,Sick Leave,1,8,2,0,28,48,95.9,Approved
Health & Safety,Sick Leave,1,8,0,5,38,216,87.5,Approved
Health & Safety,Sick Leave,5,8,0,1,28,36,87.3,Rejected
Health & Safety,Sick Leave,1,8,4,4,36,132,96.0,Rejected
Operations,Annual Leave,1,8,0,2,33,156,81.8,Approved
Health & Safety,Sick Leave,1,8,0,1,28,36,83.3,Rejected
Health & Safety,Sick Leave,1,8,1,3,33,156,93.7,Approved
Health & Safety,Sick Leave,1,8,2,0,29,72,95.6,Approved
Operations,Annual Leave,1,8,2,4,33,156,81.4,Approved
Health & Safety,Sick Leave,1,8,4,6,38,216,86.9,Approved
Operations,Annual Leave,1,8,0,7,38,216,85.1,Approved
Operations,Annual Leave,1,8,3,0,48,144,79.3,Rejected
Health & Safety,Sick Leave,1,8,3,1,37,168,93.4,Approved
Operations,Annual Leave,1,8,0,0,48,144,92.9,Approved
Health & Safety,Sick Leave,1,8,0,8,38,216,86.2,Rejected
Health & Safety,Sick Leave,1,8,0,1,28,36,77.4,Approved
Operations,Annual Leave,1,8,1,5,33,156,84.9,Approved
Health & Safety,Sick Leave,1,8,3,0,32,144,86.1,Approved
Health & Safety,Sick Leave,1,8,4,1,48,144,77.1,Rejected
Health & Safety,Sick Leave,1,8,4,4,36,132,89.4,Rejected
Health & Safety,Sick Leave,1,9,1,0,27,84,82.8,Approved
Health & Safety,Sick Leave,1,9,0,0,37,120,90.3,Approved
Health & Safety,Sick Leave,1,9,1,8,38,216,79.5,Approved
Administration,Casual Leave,1,9,1,0,43,156,89.4,Approved
Health & Safety,Sick Leave,1,9,2,1,34,168,92.1,Approved
Health & Safety,Sick Leave,1,9,0,1,37,120,86.0,Approved
Health & Safety,Sick Leave,1,9,1,9,38,216,91.9,Approved
Health & Safety,Sick Leave,1,9,3,0,40,144,86.5,Rejected
Health & Safety,Sick Leave,1,9,4,4,36,132,90.2,Approved
Health & Safety,Sick Leave,4,9,0,0,40,144,85.8,Approved
Administration,Casual Leave,1,9,0,5,36,132,85.6,Rejected
Administration,Casual Leave,1,9,0,0,28,108,89.3,Rejected
Health & Safety,Sick Leave,1,9,1,0,28,108,92.2,Approved
Health & Safety,Sick Leave,1,9,1,2,37,120,84.5,Approved
Administration,Casual Leave,1,9,1,6,33,156,85.4,Rejected
Administration,Casual Leave,1,9,1,0,50,216,97.2,Rejected
Operations,Annual Leave,1,9,2,1,28,108,83.7,Approved
Health & Safety,Sick Leave,1,9,2,10,38,216,89.9,Approved
Administration,Casual Leave,1,9,2,0,31,144,82.7,Rejected
Health & Safety,Sick Leave,1,9,4,1,47,168,73.3,Approved
Health & Safety,Sick Leave,1,9,4,11,38,216,80.9,Approved
Health & Safety,Sick Leave,1,9,4,5,36,132,94.2,Approved
Health & Safety,Sick Leave,1,10,1,12,38,216,85.7,Rejected
Health & Safety,Sick Leave,1,10,1,3,37,120,87.6,Approved
Administration,Casual Leave,1,10,2,0,50,216,89.1,Rejected
Health & Safety,Sick Leave,1,10,3,0,30,108,85.3,Approved
Health & Safety,Sick Leave,1,10,4,12,38,216,98.0,Approved
Health & Safety,Sick Leave,1,10,4,2,28,108,83.5,Rejected
Health & Safety,Sick Leave,1,10,2,2,28,108,90.0,Approved
Health & Safety,Sick Leave,1,10,2,2,47,168,71.6,Approved
Health & Safety,Sick Leave,1,10,3,1,40,144,85.9,Approved
Health & Safety,Sick Leave,1,10,2,13,38,216,80.6,Rejected
Health & Safety,Sick Leave,1,10,2,3,28,108,76.2,Approved
Administration,Casual Leave,2,10,3,6,36,132,83.1,Approved
Health & Safety,Sick Leave,1,10,1,2,40,144,85.3,Approved
Health & Safety,Sick Leave,1,10,1,4,28,108,95.0,Approved
Administration,Casual Leave,1,10,2,6,33,156,91.2,Approved
Health & Safety,Sick Leave,1,10,4,2,28,36,85.2,Approved
Health & Safety,Sick Leave,1,10,4,7,36,132,89.4,Approved
Health & Safety,Sick Leave,1,11,3,13,38,216,96.0,Approved
Health & Safety,Sick Leave,1,11,2,5,28,108,84.1,Approved
Health & Safety,Sick Leave,1,11,3,14,38,216,87.6,Approved
Operations,Annual Leave,1,11,3,0,40,204,83.9,Approved
Health & Safety,Sick Leave,1,11,3,3,40,144,84.0,Rejected
Health & Safety,Sick Leave,4,11,0,2,34,168,100.0,Approved
Health & Safety,Sick Leave,1,11,0,0,33,156,95.4,Approved
Health & Safety,Sick Leave,5,11,0,3,40,144,91.1,Rejected
Health & Safety,Sick Leave,1,11,4,3,34,168,77.9,Rejected
Health & Safety,Sick Leave,1,11,2,6,28,108,93.4,Approved
Operations,Annual Leave,1,11,2,1,40,204,82.4,Approved
Health & Safety,Sick Leave,1,11,4,7,28,108,85.7,Rejected
Health & Safety,Sick Leave,1,11,4,8,36,132,88.5,Rejected
Health & Safety,Sick Leave,1,11,0,3,47,168,100.0,Approved
Health & Safety,Sick Leave,1,11,1,7,28,108,100.0,Approved
Health & Safety,Sick Leave,3,11,2,7,33,156,100.0,Approved
Health & Safety,Sick Leave,1,11,3,3,40,144,93.2,Rejected
Health & Safety,Sick Leave,1,12,1,4,47,168,81.1,Approved
Administration,Casual Leave,8,12,1,4,37,120,97.2,Approved
Health & Safety,Sick Leave,1,12,2,0,50,216,100.0,Approved
Administration,Casual Leave,1,12,2,2,37,168,84.8,Rejected
Health & Safety,Sick Leave,1,12,3,8,28,108,82.7,Approved
Administration,Casual Leave,1,12,4,8,36,132,92.5,Approved
Administration,Casual Leave,7,12,1,5,37,120,82.9,Approved
Health & Safety,Sick Leave,1,12,2,3,28,36,100.0,Approved
Health & Safety,Sick Leave,1,12,3,9,28,108,87.1,Approved
Health & Safety,Sick Leave,1,12,4,9,36,132,85.0,Approved
Health & Safety,Sick Leave,1,12,1,10,28,108,85.6,Approved
Administration,Casual Leave,1,12,4,6,37,120,92.2,Approved
Administration,Casual Leave,1,12,4,1,41,192,93.2,Approved
Health & Safety,Sick Leave,1,12,4,11,28,108,92.9,Approved
Health & Safety,Sick Leave,1,1,2,0,28,108,85.3,Approved
Administration,Casual Leave,1,1,0,0,37,120,89.7,Approved
Administration,Casual Leave,1,1,1,1,37,120,87.9,Approved
Operations,Annual Leave,1,1,1,0,34,168,84.3,Rejected
Administration,Casual Leave,1,1,2,1,28,108,79.3,Approved
Health & Safety,Sick Leave,1,1,3,0,27,84,81.3,Approved
Health & Safety,Sick Leave,1,1,3,2,28,108,93.5,Approved
Administration,Casual Leave,1,1,4,3,28,108,88.9,Approved
Administration,Casual Leave,1,1,0,2,37,120,80.2,Approved
Administration,Casual Leave,1,1,1,4,28,108,88.6,Approved
Administration,Casual Leave,1,1,1,3,37,120,90.2,Approved
Administration,Casual Leave,1,1,2,4,37,120,90.8,Approved
Administration,Casual Leave,1,1,3,5,37,120,92.7,Approved
Administration,Casual Leave,1,1,4,6,37,120,97.4,Rejected
Operations,Annual Leave,1,1,1,0,30,108,95.6,Approved
Operations,Annual Leave,1,1,1,0,33,156,92.9,Approved
Administration,Casual Leave,1,1,0,6,37,120,84.8,Approved
Health & Safety,Sick Leave,1,1,1,5,28,108,99.0,Approved
Health & Safety,Sick Leave,1,1,3,1,33,156,91.5,Approved
Health & Safety,Sick Leave,1,2,4,1,27,84,85.5,Approved
Health & Safety,Sick Leave,1,2,2,0,41,192,96.5,Approved
Health & Safety,Sick Leave,1,2,2,0,38,216,88.1,Rejected
Health & Safety,Sick Leave,1,2,3,0,34,168,96.6,Rejected
Health & Safety,Sick Leave,1,2,3,0,33,156,81.3,Rejected
Health & Safety,Sick Leave,1,2,4,0,36,132,88.7,Approved
Health & Safety,Sick Leave,1,2,4,2,33,156,91.1,Approved
Health & Safety,Sick Leave,1,2,0,0,50,108,92.5,Rejected
Health & Safety,Sick Leave,1,2,1,0,50,108,89.8,Rejected
Health & Safety,Sick Leave,1,2,0,6,28,108,94.3,Approved
Health & Safety,Sick Leave,1,2,1,7,28,108,86.8,Approved
Health & Safety,Sick Leave,1,2,1,1,30,108,94.5,Approved
Health & Safety,Sick Leave,1,2,1,2,27,84,88.2,Approved
Health & Safety,Sick Leave,1,2,3,8,28,108,91.6,Approved
Operations,Annual Leave,1,2,0,0,28,48,77.8,Approved
Health & Safety,Sick Leave,1,2,1,1,28,48,86.6,Approved
Health & Safety,Sick Leave,1,2,2,9,28,108,76.8,Approved
Administration,Casual Leave,1,2,3,0,33,156,74.7,Rejected
Health & Safety,Sick Leave,1,3,1,0,32,144,97.9,Approved
Administration,Casual Leave,1,3,1,1,36,132,87.7,Approved
Administration,Casual Leave,1,3,1,0,29,72,83.1,Approved
Operations,Annual Leave,1,3,1,0,40,204,93.8,Approved
Health & Safety,Sick Leave,1,3,2,0,40,144,81.3,Approved
Health & Safety,Sick Leave,1,3,2,2,36,132,89.0,Approved
Health & Safety,Sick Leave,1,3,3,2,30,108,90.7,Rejected
Health & Safety,Sick Leave,1,3,4,0,47,168,100.0,Rejected
Health & Safety,Sick Leave,5,3,4,3,36,132,90.2,Approved
Health & Safety,Sick Leave,5,3,0,1,40,204,89.7,Approved
Health & Safety,Sick Leave,2,3,0,0,34,168,86.5,Rejected
Administration,Casual Leave,2,3,0,4,36,132,85.9,Rejected
Health & Safety,Sick Leave,1,3,1,0,34,168,100.0,Approved
Health & Safety,Sick Leave,1,3,3,3,33,156,83.3,Approved
Health & Safety,Sick Leave,1,3,3,2,40,204,87.5,Approved
Health & Safety,Sick Leave,1,3,4,4,36,132,90.1,Rejected
Health & Safety,Sick Leave,1,3,4,10,28,108,88.4,Approved
Health & Safety,Sick Leave,1,3,0,0,39,168,86.8,Approved
Health & Safety,Sick Leave,3,3,1,0,38,216,79.7,Rejected
Health & Safety,Sick Leave,1,3,2,11,28,108,82.8,Approved
Health & Safety,Sick Leave,1,3,0,12,28,108,90.9,Approved
Health & Safety,Sick Leave,1,3,0,2,30,108,92.0,Approved
Health & Safety,Sick Leave,1,3,1,13,28,108,92.5,Rejected
Health & Safety,Sick Leave,2,3,2,13,28,108,79.4,Approved
Health & Safety,Sick Leave,1,3,2,0,38,216,87.6,Rejected
Health & Safety,Sick Leave,2,3,3,1,39,168,92.8,Approved
Health & Safety,Sick Leave,1,3,4,14,28,108,88.7,Rejected
Health & Safety,Sick Leave,1,3,4,0,47,168,85.9,Rejected
Health & Safety,Sick Leave,1,3,0,14,28,108,75.6,Approved
Health & Safety,Sick Leave,1,4,2,1,40,144,74.0,Approved
Health & Safety,Sick Leave,1,4,2,15,28,108,87.5,Approved
Health & Safety,Sick Leave,1,4,1,1,34,168,84.2,Approved
Health & Safety,Sick Leave,3,4,2,1,41,192,86.5,Approved
Health & Safety,Sick Leave,1,4,3,2,34,168,88.3,Approved
Health & Safety,Sick Leave,1,4,4,16,28,108,80.7,Rejected
Health & Safety,Sick Leave,1,4,4,4,36,132,87.3,Approved
Health & Safety,Sick Leave,3,4,2,0,38,216,94.3,Approved
Health & Safety,Sick Leave,1,4,3,0,50,216,98.4,Approved
Health & Safety,Sick Leave,1,4,4,2,40,144,85.5,Approved
Health & Safety,Sick Leave,1,4,4,2,41,192,86.6,Approved
Health & Safety,Sick Leave,1,4,4,3,40,144,89.6,Approved
Health & Safety,Sick Leave,1,4,4,0,47,168,81.7,Approved
Administration,Casual Leave,7,4,4,5,36,132,91.8,Rejected
Administration,Casual Leave,1,4,1,4,33,156,93.9,Rejected
Health & Safety,Sick Leave,3,4,2,3,34,168,86.0,Rejected
Administration,Casual Leave,1,4,2,0,36,132,86.8,Approved
Health & Safety,Sick Leave,2,4,3,4,33,156,88.9,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,82.7,Approved
Administration,Casual Leave,1,4,0,0,48,144,86.0,Rejected
Health & Safety,Sick Leave,1,5,2,5,33,156,85.0,Approved
Health & Safety,Sick Leave,1,5,3,3,34,168,99.3,Rejected
Health & Safety,Sick Leave,1,5,0,3,34,168,100.0,Approved
Operations,Annual Leave,1,5,1,1,38,216,92.1,Approved
Administration,Casual Leave,1,5,1,16,28,108,84.1,Rejected
Health & Safety,Sick Leave,1,5,2,3,27,84,85.4,Approved
Health & Safety,Sick Leave,1,5,0,4,34,168,87.7,Approved
Health & Safety,Sick Leave,1,5,1,2,38,216,91.6,Approved
Health & Safety,Sick Leave,3,5,2,6,33,156,91.3,Rejected
Administration,Casual Leave,1,5,2,2,39,168,83.8,Rejected
Administration,Casual Leave,1,5,2,2,28,48,88.4,Rejected
Administration,Casual Leave,1,5,2,1,36,132,77.3,Rejected
Administration,Casual Leave,1,5,2,0,50,108,79.4,Rejected
Health & Safety,Sick Leave,1,5,1,3,38,216,88.3,Rejected
Health & Safety,Sick Leave,3,5,2,1,50,216,84.7,Approved
Health & Safety,Sick Leave,1,5,4,0,28,36,95.6,Approved
Administration,Casual Leave,1,6,0,3,41,192,83.6,Approved
Health & Safety,Sick Leave,1,6,0,1,28,36,87.3,Rejected
Health & Safety,Sick Leave,3,6,1,4,41,192,94.2,Approved
Health & Safety,Sick Leave,1,6,3,4,40,144,88.0,Approved
Health & Safety,Sick Leave,1,6,4,5,41,192,78.5,Approved
Health & Safety,Sick Leave,1,6,0,3,38,216,95.1,Approved
Health & Safety,Sick Leave,1,6,0,5,34,168,85.3,Rejected
Health & Safety,Sick Leave,1,6,0,6,41,192,80.2,Approved
Health & Safety,Sick Leave,1,6,2,2,50,216,87.7,Approved
Health & Safety,Sick Leave,2,6,4,1,37,168,89.5,Approved
Health & Safety,Sick Leave,1,6,1,3,50,216,92.7,Approved
Health & Safety,Sick Leave,10,6,2,4,50,216,86.8,Rejected
Health & Safety,Sick Leave,1,6,3,1,36,132,89.9,Approved
Health & Safety,Sick Leave,1,6,4,4,38,216,94.1,Approved
Health & Safety,Sick Leave,1,6,0,0,49,348,82.6,Rejected
Health & Safety,Sick Leave,1,6,3,16,28,108,86.6,Approved
Administration,Casual Leave,2,7,1,5,34,168,95.4,Approved
Health & Safety,Sick Leave,1,7,2,4,50,216,93.4,Approved
Health & Safety,Sick Leave,1,7,4,7,37,120,100.0,Rejected
Administration,Casual Leave,1,7,4,7,37,120,80.5,Approved
Administration,Casual Leave,1,7,1,2,28,48,87.0,Approved
Operations,Annual Leave,1,7,3,3,30,108,85.4,Approved
Health & Safety,Sick Leave,1,7,4,6,34,168,100.0,Approved
Health & Safety,Sick Leave,1,7,0,3,28,48,84.0,Approved
Health & Safety,Sick Leave,1,7,1,4,28,48,91.5,Rejected
Health & Safety,Sick Leave,1,7,0,1,29,72,82.5,Approved
Health & Safety,Sick Leave,1,7,1,1,28,36,98.6,Rejected
Administration,Casual Leave,1,7,2,6,33,156,89.1,Approved
Administration,Casual Leave,1,7,3,5,38,216,86.2,Rejected
Administration,Casual Leave,4,7,0,7,33,156,89.5,Approved
Administration,Casual Leave,1,7,3,8,33,156,97.5,Approved
Administration,Casual Leave,1,7,3,5,36,132,90.0,Rejected
Administration,Casual Leave,1,8,4,9,33,156,94.0,Approved
Administration,Casual Leave,1,8,4,2,29,72,90.0,Approved
Health & Safety,Sick Leave,1,8,0,10,33,156,76.6,Approved
Operations,Annual Leave,1,8,1,0,58,192,87.1,Approved
Health & Safety,Sick Leave,1,8,3,0,43,156,89.5,Approved
Health & Safety,Sick Leave,1,8,3,1,43,156,93.4,Approved
Health & Safety,Sick Leave,1,8,4,5,36,132,88.8,Approved
Health & Safety,Sick Leave,1,8,1,11,33,156,90.4,Approved
Health & Safety,Sick Leave,1,8,2,1,47,168,89.6,Approved
Health & Safety,Sick Leave,1,8,3,0,33,96,81.7,Approved
Health & Safety,Sick Leave,1,8,3,4,30,108,85.9,Approved
Health & Safety,Sick Leave,1,8,3,5,50,216,85.5,Approved
Health & Safety,Sick Leave,1,8,0,2,47,168,98.0,Approved
Health & Safety,Sick Leave,1,8,1,2,37,168,83.3,Approved
Health & Safety,Sick Leave,1,8,3,6,50,216,89.9,Approved
Administration,Casual Leave,1,8,3,3,37,168,99.2,Approved
Health & Safety,Sick Leave,1,8,1,1,28,36,84.3,Approved
Health & Safety,Sick Leave,1,8,2,4,27,84,84.9,Approved
Health & Safety,Sick Leave,1,9,0,5,38,216,95.5,Approved
Health & Safety,Sick Leave,1,9,4,6,38,216,94.2,Approved
Administration,Casual Leave,3,9,2,12,33,156,94.6,Approved
Administration,Casual Leave,1,9,3,1,43,156,93.3,Rejected
Health & Safety,Sick Leave,2,9,0,7,41,192,86.5,Approved
Health & Safety,Sick Leave,1,9,1,5,40,144,91.1,Rejected
Administration,Casual Leave,1,9,1,0,39,168,86.9,Rejected
Administration,Casual Leave,1,9,1,1,32,144,88.0,Rejected
Health & Safety,Sick Leave,1,9,2,7,38,216,76.6,Rejected
Health & Safety,Sick Leave,4,9,2,8,41,192,92.1,Rejected
Health & Safety,Sick Leave,1,9,3,7,38,216,97.1,Approved
Health & Safety,Sick Leave,1,9,4,5,40,144,87.6,Approved
Health & Safety,Sick Leave,1,9,4,6,36,132,97.3,Approved
Administration,Casual Leave,1,9,2,1,43,156,88.6,Approved
Health & Safety,Sick Leave,1,9,3,7,50,216,89.6,Rejected
Administration,Casual Leave,1,9,3,2,43,156,84.5,Rejected
Health & Safety,Sick Leave,1,9,4,6,40,144,92.6,Approved
Health & Safety,Sick Leave,5,9,0,7,40,144,91.5,Approved
Health & Safety,Sick Leave,1,9,0,8,38,216,94.4,Approved
Operations,Annual Leave,1,10,0,13,33,156,84.9,Approved
Administration,Casual Leave,1,10,0,4,37,168,92.0,Approved
Administration,Casual Leave,1,10,0,14,33,156,80.1,Approved
Health & Safety,Sick Leave,1,10,4,15,33,156,99.6,Approved
Administration,Casual Leave,1,10,4,7,50,216,97.4,Rejected
Administration,Casual Leave,1,10,4,3,47,168,100.0,Rejected
Health & Safety,Sick Leave,1,10,0,5,30,108,84.5,Approved
Health & Safety,Sick Leave,1,10,0,8,37,120,88.7,Approved
Health & Safety,Sick Leave,1,10,0,0,31,144,86.5,Approved
Health & Safety,Sick Leave,1,10,2,9,38,216,86.4,Approved
Health & Safety,Sick Leave,8,10,2,6,30,108,85.4,Approved
Administration,Casual Leave,1,10,2,2,43,156,98.4,Rejected
Administration,Casual Leave,2,10,3,16,33,156,90.1,Rejected
Health & Safety,Sick Leave,1,10,4,7,36,132,87.5,Approved
Administration,Casual Leave,1,10,4,2,43,156,88.5,Rejected
Health & Safety,Sick Leave,1,10,0,2,43,156,90.6,Approved
Health & Safety,Sick Leave,1,10,1,7,50,216,86.2,Rejected
Health & Safety,Sick Leave,1,10,1,8,40,144,88.9,Approved
Health & Safety,Sick Leave,2,10,3,7,30,108,85.7,Approved
Health & Safety,Sick Leave,1,10,3,7,50,216,86.6,Approved
Health & Safety,Sick Leave,1,10,0,2,28,36,97.3,Approved
Administration,Casual Leave,1,10,1,8,36,132,91.5,Rejected
Administration,Casual Leave,1,10,1,9,40,144,85.4,Rejected
Administration,Casual Leave,1,10,1,3,29,72,80.8,Rejected
Health & Safety,Sick Leave,1,10,2,8,30,108,81.7,Rejected
Health & Safety,Sick Leave,1,10,2,8,30,108,89.3,Approved
Health & Safety,Sick Leave,1,10,3,8,50,216,81.4,Approved
Health & Safety,Sick Leave,1,11,0,9,37,120,83.9,Rejected
Health & Safety,Sick Leave,1,11,0,3,47,168,77.8,Approved
Health & Safety,Sick Leave,1,11,1,10,38,216,94.0,Rejected
Health & Safety,Sick Leave,1,11,4,8,36,132,89.9,Approved
Health & Safety,Sick Leave,1,11,0,9,40,144,88.6,Approved
Health & Safety,Sick Leave,1,11,0,2,36,132,83.7,Approved
Health & Safety,Sick Leave,10,11,0,7,34,168,88.5,Approved
Administration,Casual Leave,1,11,0,3,43,156,89.0,Approved
Administration,Casual Leave,1,11,1,4,28,48,93.9,Rejected
Operations,Annual Leave,1,11,2,5,37,168,77.8,Approved
Health & Safety,Sick Leave,1,11,2,9,37,120,90.0,Rejected
Health & Safety,Sick Leave,1,11,3,6,37,168,79.0,Approved
Health & Safety,Sick Leave,1,11,3,10,38,216,85.2,Approved
Health & Safety,Sick Leave,1,11,4,8,41,192,87.6,Rejected
Health & Safety,Sick Leave,1,11,4,10,40,144,82.3,Rejected
Health & Safety,Sick Leave,1,11,0,8,41,192,89.6,Approved
Health & Safety,Sick Leave,1,11,1,11,38,216,83.0,Rejected
Health & Safety,Sick Leave,1,11,2,9,36,132,88.2,Approved
Operations,Annual Leave,1,11,4,10,36,132,83.4,Approved
Administration,Casual Leave,1,11,4,3,36,132,77.5,Rejected
Administration,Casual Leave,1,11,1,2,39,168,82.6,Rejected
Health & Safety,Sick Leave,1,11,3,11,38,216,88.4,Approved
Health & Safety,Sick Leave,1,12,0,17,28,108,83.4,Rejected
Health & Safety,Sick Leave,1,12,0,12,38,216,81.2,Rejected
Health & Safety,Sick Leave,1,12,0,12,38,216,93.7,Rejected
Health & Safety,Sick Leave,1,12,0,7,37,168,85.4,Approved
Health & Safety,Sick Leave,1,12,1,9,50,216,97.9,Approved
Health & Safety,Sick Leave,1,12,4,11,36,132,88.6,Approved
